Game Date,Home or Away Game,Opponent,Win or Loss,CU Score,Opponent Score,Notes,
10/30/76, home, Oklahoma, W,42,31, ,  
10/23/76, home, Iowa State, W,33,14, ,  
10/16/76, away, Oklahoma State, W,20,10, ,  
10/9/76, home, Nebraska, L,12,24, ,  
10/2/76, home, Drake, W,45,24, ,  
9/25/76, home, Miami, W,33,3, ,  
9/18/76, away, Washington, W,21,7, ,  
9/11/76, away, Texas Tech, L,7,24, ,  
1/1/76, other, Ohio State, L,10,27, Miami FL, Orange Bowl 
12/27/75, other, Texas, L,21,38, Houston TX,  
11/22/75, home, Kansas State, W,33,7, ,  
11/15/75, away, Kansas, W,24,21, ,  
11/8/75, home, Oklahoma State, W,17,7, ,  
11/1/75, away, Iowa State, W,28,27, ,  
10/25/75, away, Nebraska, L,21,63, ,  
10/18/75, home, Missouri, W,31,20, ,  
10/10/75, away, Miami, W,23,10, ,  
10/4/75, away, Oklahoma, L,20,21, ,  
9/27/75, home, Wichita State, W,52,0, ,  
9/20/75, home, Wyoming, W,27,10, ,  
9/13/75, home, California, W,34,27, , Bluebonnet Bowl 
11/23/74, away, Kansas State, L,19,33, ,  
11/16/74, away, Oklahoma State, W,37,20, ,  
11/9/74, home, Kansas, W,17,16, ,  
11/2/74, home, Nebraska, L,15,31, ,  
10/26/74, away, Missouri, L,24,30, ,  
10/19/74, home, Oklahoma, L,14,49, ,  
10/12/74, home, Iowa State, W,34,7, ,  
10/5/74, away, Air Force, W,28,27, ,  
9/28/74, home, Wisconsin, W,24,21, ,  
9/21/74, away, Michigan, L,0,31, ,  
9/14/74, away, Louisiana State, L,14,42, ,  
11/24/73, home, Kansas State, L,14,17, ,  
11/17/73, home, Oklahoma State, L,24,38, ,  
11/10/73, away, Kansas, L,15,17, ,  
11/3/73, away, Nebraska, L,16,28, ,  
10/27/73, home, Missouri, W,17,13, ,  
10/20/73, away, Oklahoma, L,7,34, ,  
10/13/73, home, Air Force, W,38,17, ,  
10/6/73, away, Iowa State, W,23,16, ,  
9/29/73, home, Baylor, W,52,28, ,  
9/22/73, away, Wisconsin, W,28,25, ,  
9/15/73, away, Louisiana State, L,6,17, ,  
12/30/72, other, Auburn, L,3,24, Jacksonville FL,  
11/18/72, away, Air Force, W,38,7, ,  
11/11/72, home, Kansas, W,33,8, ,  
11/4/72, home, Nebraska, L,10,33, ,  
10/28/72, away, Missouri, L,17,20, ,  
10/21/72, home, Oklahoma, W,20,14, ,  
10/14/72, home, Iowa State, W,34,22, ,  
10/7/72, away, Kansas State, W,38,17, ,  
9/30/72, away, Oklahoma State, L,6,31, ,  
9/23/72, away, Minnesota, W,38,6, ,  
9/16/72, home, Cincinnati, W,56,14, ,  
9/9/72, home, California, W,20,10, , Gator Bowl 
12/31/71, other, Houston, W,29,17, Houston TX,  
11/20/71, home, Air Force, W,53,17, ,  
11/13/71, home, Oklahoma State, W,40,6, ,  
11/6/71, away, Kansas, W,35,14, ,  
10/30/71, away, Nebraska, L,7,31, ,  
10/23/71, home, Missouri, W,27,7, ,  
10/16/71, away, Oklahoma, L,17,45, ,  
10/9/71, away, Iowa State, W,24,14, ,  
10/2/71, home, Kansas State, W,31,21, ,  
9/25/71, away, Ohio State, W,20,14, ,  
9/18/71, home, Wyoming, W,56,13, ,  
9/11/71, away, Louisiana State, W,31,21, , Bluebonnet Bowl 
12/12/70, other, Tulane, L,3,17, Memphis TN,  
11/21/70, away, Air Force, W,49,19, ,  
11/14/70, away, Oklahoma State, W,30,6, ,  
11/7/70, home, Kansas, W,45,29, ,  
10/31/70, home, Nebraska, L,13,29, ,  
10/24/70, away, Missouri, L,16,30, ,  
10/17/70, home, Oklahoma, L,15,23, ,  
10/10/70, home, Iowa State, W,61,10, ,  
10/3/70, away, Kansas State, L,20,21, ,  
9/26/70, home, Penn State, W,41,13, ,  
9/19/70, away, Indiana, W,16,9, , Liberty Bowl 
12/13/69, other, Alabama, W,47,33, Memphis TN,  
11/22/69, home, Kansas State, W,45,32, ,  
11/15/69, home, Oklahoma State, W,17,14, ,  
11/8/69, away, Kansas, W,17,14, ,  
11/1/69, away, Nebraska, L,7,20, ,  
10/25/69, home, Missouri, W,31,24, ,  
10/18/69, away, Oklahoma, L,30,42, ,  
10/11/69, away, Iowa State, W,14,0, ,  
10/4/69, home, Indiana, W,30,7, ,  
9/27/69, away, Penn State, L,3,27, ,  
9/20/69, home, Tulsa, W,35,14, , Liberty Bowl 
11/23/68, home, Air Force, L,35,58, ,  
11/16/68, home, Nebraska, L,6,22, ,  
11/9/68, away, Oklahoma State, L,17,34, ,  
11/2/68, away, Kansas, L,14,27, ,  
10/26/68, home, Oklahoma, W,41,27, ,  
10/19/68, home, Kansas State, W,37,14, ,  
10/12/68, away, Missouri, L,14,27, ,  
10/5/68, away, Iowa State, W,28,18, ,  
9/28/68, away, California, L,0,10, ,  
9/21/68, home, Oregon, W,28,7, ,  
12/23/67, other, Miami, W,31,21, Houston TX,  
11/25/67, away, Air Force, W,33,0, ,  
11/18/67, away, Kansas State, W,40,6, ,  
11/11/67, home, Kansas, W,12,8, ,  
11/4/67, away, Oklahoma, L,0,23, ,  
10/28/67, home, Oklahoma State, L,7,10, ,  
10/21/67, away, Nebraska, W,21,16, ,  
10/14/67, home, Missouri, W,23,9, ,  
10/7/67, home, Iowa State, W,34,0, ,  
9/23/67, away, Oregon, W,17,13, ,  
9/16/67, home, Baylor, W,27,7, , Bluebonnet Bowl 
11/19/66, home, Air Force, W,10,9, ,  
11/12/66, away, Kansas, W,35,18, ,  
11/5/66, away, Missouri, W,26,0, ,  
10/29/66, home, Oklahoma, W,24,21, ,  
10/22/66, home, Nebraska, L,19,21, ,  
10/15/66, away, Iowa State, W,41,21, ,  
10/8/66, away, Oklahoma State, L,10,11, ,  
10/1/66, home, Kansas State, W,10,0, ,  
9/24/66, away, Baylor, W,13,7, ,  
9/17/66, home, Miami, L,3,24, ,  
11/20/65, away, Air Force, W,19,6, ,  
11/13/65, home, Kansas, W,21,14, ,  
11/6/65, home, Missouri, L,7,20, ,  
10/30/65, away, Oklahoma, W,13,0, ,  
10/23/65, away, Nebraska, L,13,38, ,  
10/16/65, home, Iowa State, T,10,10, ,  
10/9/65, home, Oklahoma State, W,34,11, ,  
10/2/65, away, Kansas State, W,36,0, ,  
9/25/65, home, Fresno State, W,10,7, ,  
9/18/65, away, Wisconsin, T,0,0, ,  
11/21/64, home, Air Force, W,28,23, ,  
11/14/64, away, Kansas, L,7,10, ,  
11/7/64, away, Missouri, L,7,16, ,  
10/31/64, home, Oklahoma, L,11,14, ,  
10/24/64, home, Nebraska, L,3,21, ,  
10/17/64, away, Iowa State, W,14,7, ,  
10/10/64, away, Oklahoma State, L,10,14, ,  
10/3/64, home, Kansas State, L,14,16, ,  
9/26/64, home, Oregon State, L,7,14, ,  
9/18/64, away, Southern California, L,0,21, ,  
12/7/63, away, Air Force, L,14,17, ,  
11/16/63, home, Kansas, L,14,43, ,  
11/9/63, home, Missouri, L,7,28, ,  
11/2/63, away, Oklahoma, L,0,35, ,  
10/26/63, away, Nebraska, L,6,41, ,  
10/19/63, home, Iowa State, L,7,19, ,  
10/12/63, home, Oklahoma State, W,25,0, ,  
10/5/63, away, Kansas State, W,21,7, ,  
9/28/63, other, Oregon State, L,6,41, Portland OR,  
9/21/63, home, Southern California, L,0,14, ,  
11/24/62, home, Air Force, W,34,10, ,  
11/17/62, away, Texas Tech, L,12,21, ,  
11/10/62, away, Missouri, L,0,57, ,  
11/3/62, home, Oklahoma, L,0,62, ,  
10/27/62, home, Nebraska, L,6,31, ,  
10/20/62, away, Iowa State, L,19,57, ,  
10/13/62, away, Oklahoma State, L,16,36, ,  
10/6/62, away, Kansas, L,8,35, ,  
9/29/62, home, Kansas State, W,6,0, ,  
9/22/62, away, Utah, L,21,37, ,  
12/2/61, home, Air Force, W,29,12, ,  
11/25/61, home, Iowa State, W,34,0, ,  
11/18/61, away, Nebraska, W,7,0, ,  
11/11/61, home, Utah, L,12,21, ,  
11/4/61, home, Missouri, W,7,6, ,  
10/28/61, away, Oklahoma, W,22,14, ,  
10/21/61, away, Kansas State, W,13,0, ,  
10/13/61, away, Miami, W,9,7, ,  
10/7/61, home, Kansas, W,20,19, ,  
9/30/61, home, Oklahoma State, W,24,0, ,  
1/1/61, other, Louisiana State, L,7,25, Miami FL, Orange Bowl 
11/26/60, home, Air Force, L,6,16, ,  
11/19/60, away, Oklahoma State, W,13,6, ,  
11/12/60, away, Kansas, L,6,34, ,  
11/5/60, away, Missouri, L,6,16, ,  
10/29/60, home, Oklahoma, W,7,0, ,  
10/22/60, home, Nebraska, W,19,6, ,  
10/15/60, away, Iowa State, W,21,6, ,  
10/8/60, home, Arizona, W,35,16, ,  
10/1/60, home, Kansas State, W,27,7, ,  
9/24/60, away, Baylor, L,0,26, ,  
11/28/59, home, Air Force, W,15,7, ,  
11/14/59, away, Nebraska, L,12,14, ,  
11/7/59, home, Kansas, W,27,14, ,  
10/31/59, home, Missouri, W,21,20, ,  
10/24/59, away, Arizona, W,18,0, ,  
10/17/59, home, Iowa State, L,0,27, ,  
10/10/59, away, Kansas State, W,20,17, ,  
10/3/59, away, Oklahoma, L,12,42, ,  
9/26/59, home, Baylor, L,7,15, ,  
9/19/59, home, Washington, L,12,21, ,  
11/29/58, home, Air Force, L,14,20, ,  
11/22/58, home, Colorado State, L,14,15, ,  
11/15/58, away, Utah, W,7,0, ,  
11/8/58, away, Missouri, L,9,33, ,  
11/1/58, home, Oklahoma, L,7,23, ,  
10/25/58, home, Nebraska, W,27,16, ,  
10/18/58, away, Iowa State, W,20,0, ,  
10/11/58, away, Arizona, W,65,12, ,  
10/4/58, away, Kansas, W,31,0, ,  
9/27/58, home, Kansas State, W,13,3, ,  
11/23/57, home, Iowa State, W,38,21, ,  
11/16/57, away, Nebraska, W,27,0, ,  
11/9/57, away, Colorado State, W,20,0, ,  
11/2/57, home, Missouri, L,6,9, ,  
10/26/57, away, Oklahoma, L,13,14, ,  
10/19/57, away, Kansas State, W,42,14, ,  
10/12/57, home, Arizona, W,34,14, ,  
10/5/57, home, Kansas, L,34,35, ,  
9/28/57, home, Utah, W,30,24, ,  
9/21/57, away, Washington, T,6,6, ,  
11/24/56, away, Arizona, W,38,7, ,  
11/17/56, away, Utah, W,21,7, ,  
11/10/56, away, Missouri, T,14,14, ,  
11/3/56, home, Oklahoma, L,19,27, ,  
10/27/56, home, Nebraska, W,16,0, ,  
10/20/56, away, Iowa State, W,52,0, ,  
10/13/56, home, Colorado State, W,47,7, ,  
10/6/56, away, Kansas, W,26,25, ,  
9/29/56, home, Kansas State, W,34,0, ,  
9/22/56, home, Oregon, L,0,35, ,  
1/1/56, other, Clemson, W,27,21, Miami FL, Orange Bowl 
11/26/55, away, Colorado State, L,0,10, ,  
11/19/55, home, Iowa State, W,40,0, ,  
11/12/55, away, Nebraska, L,20,37, ,  
11/5/55, home, Utah, W,37,7, ,  
10/29/55, home, Missouri, L,12,20, ,  
10/22/55, away, Oklahoma, L,21,56, ,  
10/15/55, away, Kansas State, W,34,13, ,  
10/8/55, away, Oregon, W,13,6, ,  
10/1/55, home, Kansas, W,12,0, ,  
9/24/55, home, Arizona, W,14,0, ,  
11/20/54, home, Kansas State, W,38,14, ,  
11/13/54, away, Utah, W,20,7, ,  
11/6/54, away, Missouri, T,19,19, ,  
10/30/54, home, Oklahoma, L,6,13, ,  
10/23/54, home, Nebraska, L,6,20, ,  
10/16/54, away, Iowa State, W,20,0, ,  
10/9/54, away, Arizona, W,40,18, ,  
10/2/54, away, Kansas, W,27,0, ,  
9/25/54, home, Colorado State, W,46,0, ,  
9/18/54, home, Drake, W,61,0, ,  
11/28/53, away, Colorado State, W,13,7, ,  
11/14/53, away, Nebraska, W,14,10, ,  
11/7/53, home, Utah, W,21,0, ,  
10/31/53, home, Iowa State, W,41,34, ,  
10/24/53, away, Oklahoma, L,20,27, ,  
10/17/53, away, Kansas State, L,14,28, ,  
10/10/53, home, Kansas, L,21,27, ,  
10/3/53, home, Missouri, L,16,27, ,  
9/26/53, home, Arizona, W,20,14, ,  
9/19/53, away, Washington, W,21,20, ,  
11/29/52, home, Colorado State, W,61,0, ,  
11/15/52, home, Kansas State, W,34,14, ,  
11/8/52, away, Missouri, L,7,27, ,  
11/1/52, away, Utah, W,20,14, ,  
10/25/52, home, Nebraska, T,16,16, ,  
10/18/52, away, Iowa State, W,21,12, ,  
10/11/52, away, Arizona, W,34,19, ,  
10/4/52, away, Kansas, L,12,21, ,  
9/27/52, home, Oklahoma, T,21,21, ,  
9/20/52, home, San Jose State, W,20,14, ,  
11/24/51, away, Michigan State, L,7,45, ,  
11/17/51, away, Nebraska, W,36,14, ,  
11/10/51, home, Utah, W,54,0, ,  
11/3/51, home, Iowa State, W,47,20, ,  
10/27/51, away, Oklahoma, L,14,55, ,  
10/20/51, away, Kansas State, W,20,7, ,  
10/13/51, home, Missouri, W,34,13, ,  
10/6/51, home, Kansas, W,35,27, ,  
9/29/51, away, Northwestern, L,14,35, ,  
9/22/51, home, Colorado State, W,28,13, ,  
11/25/50, away, Colorado State, W,31,6, ,  
11/18/50, home, Oregon, W,21,7, ,  
11/11/50, away, Missouri, L,19,21, ,  
11/4/50, home, Oklahoma, L,18,27, ,  
10/28/50, away, Utah, T,20,20, ,  
10/21/50, home, Arizona, W,28,25, ,  
10/14/50, home, Nebraska, W,28,19, ,  
10/7/50, away, Kansas, L,21,27, ,  
9/30/50, home, Kansas State, W,34,6, ,  
9/23/50, away, Iowa State, L,7,14, ,  
11/26/49, home, Colorado State, L,7,14, ,  
11/19/49, away, Nebraska, L,14,25, ,  
11/12/49, away, New Mexico, L,15,17, ,  
11/5/49, home, Missouri, L,13,20, ,  
10/29/49, home, Utah, W,14,7, ,  
10/22/49, away, Utah State, W,20,7, ,  
10/15/49, away, Oregon, L,14,42, ,  
10/8/49, home, Iowa State, L,6,13, ,  
10/1/49, away, Kansas State, L,13,27, ,  
9/24/49, home, Kansas, W,13,12, ,  
11/20/48, home, Colorado State, L,25,29, ,  
11/13/48, away, Missouri, L,13,27, ,  
11/6/48, home, Utah State, W,28,14, ,  
10/30/48, away, Utah, L,12,14, ,  
10/23/48, home, Kansas State, W,51,7, ,  
10/16/48, away, Iowa State, L,7,18, ,  
10/9/48, home, Nebraska, W,19,6, ,  
10/2/48, away, Kansas, L,7,40, ,  
9/25/48, home, New Mexico, L,6,9, ,  
11/27/47, away, Denver, L,20,26, ,  
11/15/47, home, Wyoming, W,21,6, ,  
11/8/47, away, Utah State, L,12,35, ,  
11/1/47, home, Utah, L,7,13, ,  
10/25/47, away, Colorado State, W,14,7, ,  
10/18/47, home, Brigham Young, W,9,7, ,  
10/11/47, home, Missouri, L,0,21, ,  
10/4/47, away, Army, L,0,47, ,  
9/27/47, away, Iowa State, W,7,0, ,  
11/28/46, home, Colorado State, W,18,0, ,  
11/16/46, home, Denver, T,13,13, ,  
11/9/46, away, Missouri, L,0,21, ,  
11/2/46, away, Utah, L,0,7, ,  
10/26/46, home, New Mexico, W,14,13, ,  
10/19/46, away, Brigham Young, L,7,10, ,  
10/12/46, away, Wyoming, W,20,0, ,  
10/5/46, home, Utah State, W,6,0, ,  
9/28/46, away, Texas, L,0,76, ,  
9/21/46, home, Iowa State, W,13,7, ,  
11/22/45, away, Denver, L,8,14, ,  
11/10/45, home, Utah State, W,14,7, ,  
11/3/45, away, New Mexico, L,6,12, ,  
10/20/45, home, Colorado College, W,31,0, ,  
10/13/45, away, Colorado State, W,21,6, ,  
10/6/45, home, Utah, W,18,13, ,  
9/29/45, away, Colorado College, W,13,0, ,  
9/22/45, home, Fort Warren, L,0,6, ,  
11/23/44, away, Denver, W,16,14, ,  
11/18/44, away, Colorado College, W,40,6, ,  
11/11/44, home, Peru State, W,40,12, ,  
11/4/44, other, New Mexico, W,39,0, Pueblo CO,  
10/21/44, home, Colorado College, W,28,0, ,  
10/14/44, away, Utah, W,26,0, ,  
9/30/44, home, Second Air Force, L,6,33, ,  
9/23/44, home, Fort Warren, L,6,7, ,  
11/20/43, away, Colorado College, L,0,6, ,  
11/6/43, away, Utah, W,22,19, ,  
10/23/43, home, Colorado College, L,6,16, ,  
10/16/43, home, Salt Lake Field, W,14,0, ,  
10/9/43, home, Utah, W,35,0, ,  
10/2/43, home, Lowry Field, W,19,6, ,  
9/25/43, home, Fort Warren, W,38,0, ,  
11/26/42, away, Denver, W,31,6, ,  
11/14/42, home, Brigham Young, W,48,0, ,  
11/7/42, home, Utah, L,0,13, ,  
10/31/42, home, Wyoming, W,28,7, ,  
10/24/42, away, Colorado State, W,34,7, ,  
10/17/42, home, New Mexico, W,12,0, ,  
10/9/42, home, Utah State, W,31,14, ,  
10/3/42, away, Missouri, L,13,26, ,  
9/26/42, home, Colorado Mines, W,54,0, ,  
11/20/41, away, Denver, L,0,27, ,  
11/15/41, away, Brigham Young, T,13,13, ,  
11/1/41, away, Utah, L,6,46, ,  
10/25/41, home, Wyoming, W,27,0, ,  
10/18/41, home, Colorado State, W,26,13, ,  
10/11/41, home, Utah State, W,13,7, ,  
10/4/41, away, Missouri, L,6,21, ,  
9/27/41, home, Texas, L,6,34, ,  
11/21/40, away, Denver, T,3,3, ,  
11/16/40, home, Brigham Young, W,25,2, ,  
11/9/40, home, Missouri, L,6,21, ,  
11/2/40, home, Utah, L,13,21, ,  
10/26/40, home, Wyoming, W,62,0, ,  
10/19/40, away, Colorado State, W,33,14, ,  
10/12/40, away, Utah State, W,26,0, ,  
10/5/40, home, Kansas State, W,7,6, ,  
9/28/40, away, Texas, L,7,39, ,  
11/30/39, home, Denver, W,27,17, ,  
11/18/39, away, Brigham Young, W,12,6, ,  
11/4/39, away, Utah, W,21,14, ,  
10/28/39, away, Wyoming, W,27,7, ,  
10/21/39, home, Colorado State, W,13,0, ,  
10/14/39, away, Kansas State, L,0,20, ,  
10/7/39, home, Utah State, L,6,16, ,  
9/30/39, away, Missouri, L,0,30, ,  
11/24/38, away, Denver, L,12,19, ,  
11/12/38, home, Brigham Young, W,8,0, ,  
11/5/38, home, Utah, T,0,0, ,  
10/29/38, home, Wyoming, W,20,6, ,  
10/22/38, away, Colorado State, W,31,6, ,  
10/15/38, home, George Washington, L,0,13, ,  
10/8/38, away, Utah State, L,0,20, ,  
10/1/38, away, Missouri, L,7,14, ,  
11/25/37, away, Denver, W,34,7, ,  
11/13/37, home, Colorado College, W,35,6, ,  
11/6/37, away, Utah, W,17,7, ,  
10/30/37, home, Colorado Mines, W,54,0, ,  
10/23/37, home, Colorado State, W,47,0, ,  
10/16/37, home, Brigham Young, W,14,0, ,  
10/9/37, home, Utah State, W,33,0, ,  
10/2/37, home, Missouri, W,14,6, ,  
1/1/37, other, Rice, L,14,28, Dallas TX, Cotton Bowl 
11/26/36, away, Denver, L,6,7, ,  
11/14/36, away, Utah State, L,13,14, ,  
11/7/36, home, Utah, W,31,7, ,  
10/31/36, away, Colorado College, W,7,0, ,  
10/24/36, away, Colorado State, W,9,7, ,  
10/17/36, home, Colorado Mines, W,33,0, ,  
10/3/36, home, Oklahoma, L,0,8, ,  
11/28/35, away, Denver, W,14,0, ,  
11/23/35, home, Wyoming, L,0,6, ,  
11/16/35, home, Kansas, L,6,12, ,  
11/9/35, away, Utah, W,14,0, ,  
11/2/35, home, Colorado College, W,23,0, ,  
10/26/35, home, Colorado State, W,19,6, ,  
10/19/35, home, Colorado Mines, W,58,0, ,  
10/12/35, away, Missouri, L,6,20, ,  
9/28/35, away, Oklahoma, L,0,3, ,  
11/29/34, away, Denver, W,7,0, ,  
11/17/34, away, Colorado College, W,31,0, ,  
11/10/34, home, Utah, W,7,6, ,  
11/3/34, away, Colorado Mines, W,40,6, ,  
10/27/34, home, Colorado State, W,27,9, ,  
10/20/34, other, Brigham Young, W,48,6, neutral site,  
10/12/34, away, Northern Colorado, L,7,13, ,  
10/6/34, home, Missouri, T,0,0, ,  
9/29/34, away, Kansas, T,0,0, ,  
11/30/33, away, Denver, W,14,7, ,  
11/18/33, home, Northern Colorado, W,24,0, ,  
11/11/33, away, Utah, L,6,13, ,  
11/4/33, home, Colorado College, W,26,0, ,  
10/28/33, home, Wyoming, W,40,12, ,  
10/21/33, away, Colorado State, L,6,19, ,  
10/14/33, home, Colorado Mines, W,42,0, ,  
10/6/33, away, Oklahoma State, W,6,0, ,  
9/30/33, home, Chadron State, W,19,0, ,  
11/24/32, away, Denver, L,0,6, ,  
11/12/32, away, Colorado College, L,0,12, ,  
11/5/32, home, Utah, L,0,14, ,  
10/22/32, home, Colorado State, L,6,7, ,  
10/8/32, home, Utah State, W,26,7, ,  
10/1/32, away, Colorado Mines, W,31,0, ,  
11/26/31, away, Arizona, W,27,7, ,  
11/21/31, home, Colorado College, W,17,7, ,  
11/14/31, away, Utah, L,0,32, ,  
11/7/31, home, Denver, W,25,6, ,  
10/24/31, away, Colorado State, L,6,19, ,  
10/17/31, home, Missouri, W,9,7, ,  
10/10/31, home, Colorado Mines, W,27,0, ,  
9/26/31, other, Oregon State, L,0,16, Portland OR,  
11/27/30, away, Denver, W,27,7, ,  
11/15/30, home, Utah, L,0,34, ,  
11/8/30, away, Northern Colorado, W,27,7, ,  
11/1/30, away, Colorado College, W,14,13, ,  
10/25/30, home, Colorado State, W,7,0, ,  
10/18/30, home, Colorado Mines, W,36,7, ,  
10/11/30, away, Utah State, T,0,0, ,  
10/4/30, away, Missouri, W,9,0, ,  
11/23/29, home, Colorado College, W,13,7, ,
11/16/29, away, Colorado State, W,6,0, ,
11/9/29, away, Colorado Mines, W,13,9, ,
11/2/29, home, Denver, T,0,0, ,
10/19/29, away, Utah, L,0,40, ,
10/12/29, home, Northern Colorado, W,19,0, ,
10/5/29, home, Regis, W,27,13, ,
11/29/28, away, Denver, W,7,0, ,
11/17/28, away, Colorado College, W,24,19, ,
11/10/28, home, Colorado State, W,13,7, ,
10/27/28, home, Utah, L,6,25, ,
10/20/28, home, Colorado Mines, W,39,0, ,
10/13/28, away, Northern Colorado, W,21,6, ,
11/24/27, away, Denver, L,0,48, ,
11/19/27, away, Colorado State, L,7,39, ,
11/12/27, away, Southern California, L,7,46, ,
11/5/27, home, Colorado College, W,7,6, ,
10/29/27, home, Colorado Mines, W,28,18, ,
10/22/27, away, Utah, L,13,20, ,
10/15/27, home, Northern Colorado, W,43,0, ,
10/8/27, away, Montana State, L,6,12, ,
10/1/27, home, Western State, W,25,6, ,
11/25/26, away, Denver, L,9,20, ,
11/20/26, home, Northern Colorado, W,12,3, ,
11/13/26, home, Colorado State, L,0,3, ,
11/6/26, away, Colorado Mines, W,12,0, ,
10/30/26, away, Colorado College, L,0,21, ,
10/23/26, home, Utah, L,3,37, ,
10/16/26, home, Wyoming, T,13,13, ,
10/9/26, home, Montana State, L,3,6, ,
10/2/26, home, Chadron State, W,25,0, ,
11/26/25, away, Denver, W,41,0, ,
11/21/25, home, Western State, W,34,0, ,
11/14/25, away, Colorado State, L,0,12, ,
11/7/25, home, Colorado College, W,23,6, ,
10/31/25, away, Colorado Mines, W,14,3, ,
10/24/25, away, Utah, L,7,12, ,
10/7/25, away, Creighton, W,14,6, ,
10/3/25, home, Montana State, W,23,3, ,
9/26/25, home, Chadron State, L,0,3, ,
12/25/24, away, Hawaii All-Stars, W,43,0, ,
11/22/24, home, Colorado State, W,36,0, ,
11/15/24, away, Denver, T,0,0, ,
11/8/24, home, Colorado Mines, W,38,0, ,
11/1/24, home, Utah, W,3,0, ,
10/25/24, away, Wyoming, W,21,0, ,
10/18/24, away, Colorado College, W,26,0, ,
10/11/24, home, Regis, W,39,0, ,
10/4/24, home, Western State, W,31,0, ,
1/1/24, away, Hawaii, L,0,13, ,
11/28/23, away, Colorado State, W,6,3, ,
11/24/23, home, Wyoming, W,20,3, ,
11/17/23, away, Utah, W,17,7, ,
11/10/23, away, Colorado Mines, W,47,0, ,
11/3/23, home, Colorado College, W,17,7, ,
10/27/23, away, Denver, W,21,7, ,
10/21/23, home, Northern Colorado, W,60,0, ,
10/14/23, home, Western State, W,51,0, ,
10/7/23, home, Brigham Young, W,41,0, ,
11/23/22, away, Colorado Mines, W,16,0, ,
11/18/22, away, Kansas, L,6,39, ,
11/11/22, away, Colorado College, L,10,21, ,
11/4/22, home, Colorado State, W,7,0, ,
10/29/22, away, Denver, L,0,16, ,
10/21/22, home, Utah, L,0,3, ,
10/14/22, home, New Mexico, W,3,0, ,
10/7/22, away, Regis, W,14,0, ,
11/24/21, home, Colorado Mines, W,10,7, ,
11/19/21, away, Colorado State, W,10,0, ,
11/12/21, away, Utah, T,0,0, ,
11/5/21, home, Colorado College, W,35,14, ,
10/29/21, away, Chicago, L,0,35, ,
10/22/21, home, Denver, W,10,7, ,
11/25/20, other, Oklahoma State, W,40,7, Oklahoma City OK,
11/20/20, home, Colorado State, T,7,7, ,
11/13/20, away, Colorado Mines, W,7,0, ,
11/6/20, home, Utah, L,0,7, ,
10/31/20, home, Colorado College, T,7,7, ,
10/23/20, away, Wyoming, W,7,0, ,
10/16/20, away, Denver, W,31,0, ,
11/29/19, home, Colorado Mines, W,33,0, ,
11/15/19, home, Utah State, L,7,19, ,
11/8/19, away, Utah, L,0,7, ,
10/25/19, home, Colorado College, T,14,14, ,
10/18/19, away, Denver, W,26,7, ,
10/11/19, away, Colorado State, L,7,49, ,
12/7/18, away, Colorado College, L,7,8, ,
11/28/18, home, Colorado State, W,16,13, ,
11/23/18, away, Denver, L,0,6, ,
11/20/18, home, Lieutenants, W,20,6, ,
11/16/18, home, Northern Colorado, L,0,9, ,
11/17/17, away, Utah State, L,0,23, ,
11/10/17, home, Utah, W,18,9, ,
11/3/17, home, Colorado College, W,18,17, ,
10/27/17, away, Colorado Mines, W,12,0, ,
10/20/17, away, Denver, L,0,7, ,
10/13/17, away, Colorado State, W,6,0, ,
10/6/17, away, Northern Colorado, W,54,0, ,
9/22/17, home, Colorado Alumni, W,6,0, ,
11/30/16, home, Colorado State, L,14,32, ,
11/18/16, away, Colorado Mines, L,10,27, ,
11/11/16, away, Colorado College, L,0,58, ,
10/28/16, away, Utah, L,0,28, ,
10/21/16, home, Denver, L,0,7, ,
10/7/16, away, Wyoming, W,16,10, ,
9/30/16, home, Colorado Alumni, T,0,0, ,
11/25/15, away, Washington, L,0,46, ,
11/20/15, away, Denver, L,0,7, ,
11/13/15, away, Colorado Mines, L,6,13, ,
10/30/15, away, Utah, L,3,35, ,
10/23/15, home, Colorado College, L,0,44, ,
10/9/15, home, Colorado State, L,6,23, ,
10/2/15, home, Wyoming, W,30,0, ,
11/26/14, away, Denver, W,6,0, ,
11/7/14, home, Utah, W,33,0, ,
10/31/14, away, Colorado College, W,10,7, ,
10/17/14, away, Colorado State, W,33,6, ,
10/10/14, away, Colorado Mines, L,2,6, ,
10/3/14, home, Colorado Alumni, W,27,3, ,
11/27/13, away, Oklahoma, L,3,14, ,
11/15/13, away, Colorado Mines, W,20,0, ,
11/8/13, away, Utah, W,30,12, ,
11/1/13, home, Colorado College, T,0,0, ,
10/25/13, home, Colorado State, W,16,7, ,
10/11/13, home, Colorado Alumni, W,6,0, ,
10/4/13, away, Wyoming, W,7,0, ,
11/28/12, other, Oklahoma, W,14,12, Denver CO,
11/23/12, home, Colorado Mines, L,3,24, ,
11/16/12, away, Kansas State, L,6,14, ,
11/9/12, other, Utah, W,3,0, Denver CO,
11/2/12, away, Colorado College, W,10,7, ,
10/26/12, home, Wyoming, W,75,0, ,
10/12/12, away, Colorado State, L,0,21, ,
10/5/12, home, Utah State, W,16,3, ,
9/28/12, home, Colorado Alumni, W,20,0, ,
11/30/11, away, Colorado Mines, W,11,0, ,
11/18/11, away, Utah, W,9,0, ,
11/11/11, home, Colorado State, W,31,0, ,
